"!75f19024","latitudeI","longitudeI","createdAt"
-101,"458460063","137172005","2025-12-21 14:28:49.388292"
-78,"458528193","137467745","2025-12-21 14:02:27.226539"
-78,"458488306","137617505","2025-12-21 14:08:03.33909"
-72,"458544186","137374286","2025-12-21 13:58:06.11353"
-73,"458535875","137399743","2025-12-21 13:59:31.667024"
-114,"458455610","137709561","2025-12-21 14:11:21.204093"
-76,"458536140","137389813","2025-12-21 13:58:36.384743"
-93,"458516095","137195063","2025-12-21 14:25:01.329618"
-91,"458518385","137158020","2025-12-21 14:26:32.298732"
-83,"458511380","137549493","2025-12-21 14:06:32.605883"
-66,"458462985","137232728","2025-12-21 14:29:35.397711"
-68,"458523505","137330326","2025-12-21 13:56:32.082142"
-77,"458480896","137261860","2025-12-21 14:24:15.866524"
-78,"458533136","137175675","2025-12-21 14:26:17.235606"
-86,"458528453","137474023","2025-12-21 14:04:01.326865"
-106,"458482043","137068200","2025-12-21 14:27:33.617692"
-81,"458508315","137217930","2025-12-21 14:24:46.234347"
-75,"458536020","137403270","2025-12-21 14:00:42.244122"
-85,"458500125","137586446","2025-12-21 14:07:18.259952"
-93,"458528218","137473031","2025-12-21 14:02:42.381894"
-97,"458530638","137483061","2025-12-21 14:04:31.523987"
-72,"458538320","137398613","2025-12-21 14:00:27.019376"
-71,"458535968","137399806","2025-12-21 14:00:11.810188"
