row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed,!da5ad56c_mesaured_rssi,!da5ad56c_predicted_rssi,!da5ad56c_path_loss_rssi,!da5ad56c_los_obstructed,!da5ad56c_fresnel_60_obstructed,!da5ad56c_first_fresnel_obstructed
1,45.8529335,13.7294618,-83.0,-56.21,-60.93,False,False,False,-69.0,-73.22,-51.81,True,True,True,-71.0,-54.19,-58.879999999999995,False,False,False
2,45.8529238,13.7294573,-83.0,-56.21,-60.93,False,False,False,-70.0,-70.9,-51.81999999999999,True,True,True,-72.0,-54.19,-58.86999999999999,False,False,False
3,45.8529808,13.7293233,-83.0,-56.43,-60.99999999999999,False,False,False,-70.0,-46.49,-51.489999999999995,True,True,True,-84.0,-54.24,-58.86,False,False,False
4,45.8530055,13.7292793,-85.0,-56.43,-61.029999999999994,False,False,False,-70.0,-48.61,-51.36999999999999,True,True,True,-72.0,-54.25,-58.86999999999999,False,False,False
5,45.8529766,13.7293996,-85.0,-56.45,-60.98000000000001,False,False,False,-70.0,-70.43,-51.629999999999995,True,True,True,-72.0,-54.22,-58.89,False,False,False
6,45.8529525,13.7295526,-67.0,-56.23,-60.93,False,False,False,-72.0,-49.42,-51.92999999999999,True,True,True,-68.0,-54.18,-58.92999999999999,False,False,False
7,45.8527626,13.730317,-63.0,-56.1,-60.62999999999999,False,False,False,-78.0,-77.27,-53.39,True,True,True,-64.0,-54.5,-59.11,False,False,False
8,45.8526296,13.7311338,-65.0,-83.6,-60.37,True,True,True,-81.0,-90.36,-54.64999999999999,True,True,True,-71.0,-76.6,-59.379999999999995,True,True,True
9,45.8525733,13.7320365,-62.0,-55.55,-60.20000000000001,False,False,False,-89.0,-85.59,-55.8,True,True,True,-71.0,-74.71,-59.77,True,True,True
10,45.8524091,13.7329936,-69.0,-55.36,-59.96,False,False,False,-91.0,-57.36,-56.97,True,True,True,-68.0,-55.6,-60.14000000000001,False,False,False
11,45.8526096,13.7340173,-68.0,-55.41,-60.11000000000001,False,False,False,-85.0,-101.08,-57.86,True,True,True,-71.0,-69.08,-60.759999999999984,False,True,True
12,45.8530525,13.7348725,-65.0,-55.94,-60.529999999999994,False,False,False,-89.0,-100.95,-58.47,True,True,True,-72.0,-57.2,-61.39000000000001,False,False,True
13,45.8536928,13.7355131,-80.0,-56.43,-61.12,False,False,False,-83.0,-111.21,-58.86999999999999,True,True,True,-70.0,-112.35,-61.99999999999999,True,True,True
14,45.8543591,13.7360861,-81.0,-57.519999999999996,-61.70000000000001,False,False,True,-83.0,-109.64,-59.28999999999999,True,True,True,-70.0,-109.76,-62.550000000000004,True,True,True
15,45.8544455,13.7370295,-79.0,-57.27,-61.839999999999996,False,False,False,-82.0,-112.21,-60.06999999999999,True,True,True,-70.0,-100.21,-62.93999999999999,True,True,True
16,45.8541261,13.7375996,-66.0,-56.97,-61.65999999999999,False,False,False,-127.0,-112.75,-60.53,True,True,True,-74.0,-86.31,-63.02,True,True,True
17,45.8536833,13.7385751,-77.0,-56.82,-61.45000000000001,False,False,False,-126.0,-109.6,-61.279999999999994,True,True,True,-74.0,-58.78,-63.21,False,False,False
18,45.8535556,13.7397891,-74.0,-57.07,-61.569999999999986,False,False,False,-103.0,-104.18,-62.09999999999999,True,True,True,-77.0,-59.099999999999994,-63.62999999999999,False,False,False
19,45.8535573,13.7410421,-74.0,-57.28,-61.84999999999999,False,False,False,-126.0,-101.59,-62.84999999999999,True,True,True,-78.0,-59.69,-64.1,False,False,False
20,45.8534033,13.7422033,-75.0,-57.47,-62.029999999999994,False,False,False,-89.0,-102.71,-63.509999999999984,True,True,True,-68.0,-59.989999999999995,-64.47,False,False,True
21,45.8529908,13.743116,-76.0,-57.45,-62.009999999999984,False,False,False,-112.0,-91.73,-64.02000000000001,True,True,True,-68.0,-60.260000000000005,-64.69,False,False,True
22,45.8528721,13.7442388,-74.0,-88.29,-62.279999999999994,True,True,True,-101.0,-99.35,-64.58000000000001,True,True,True,-80.0,-60.67,-65.06,False,True,True
23,45.8528605,13.7453133,-76.0,-58.010000000000005,-62.61000000000001,False,True,True,-94.0,-91.76,-65.07,True,True,True,-76.0,-60.959999999999994,-65.42000000000002,False,False,True
24,45.8527951,13.7464201,-75.0,-58.349999999999994,-62.93,False,False,False,-84.0,-95.52,-65.55000000000001,True,True,True,-76.0,-80.65,-65.77000000000001,True,True,True
25,45.8528676,13.7475516,-94.0,-86.89,-63.339999999999996,True,True,True,-113.0,-108.13,-66.00999999999999,True,True,True,-84.0,-90.54,-66.14000000000001,True,True,True
26,45.8530931,13.7486786,-96.0,-86.99,-63.800000000000004,True,True,True,-83.0,-105.67,-66.44,True,True,True,-70.0,-97.16,-66.53,True,True,True
