"id","!75f19024","latitudeI","longitudeI"
"9525b09d-2d97-48f0-9f1b-b25e18b1ea6d",-54,"458434998","137341690"
"c3459a7c-a4bf-4e0f-9451-25f04c88902d",-53,"458435046","137341470"
"7790cb46-ebf9-47da-ad78-cef6bd174b35",-65,"458417915","137355740"
"a3d6d3fb-c2d6-4360-bb2e-308383c7ba0c",-58,"458400480","137348830"
"9c1d4026-63fa-4115-8738-921b3cb3c9a2",-76,"458387365","137371601"
"0bf8335e-4bb6-444e-993e-f74f3dae5d70",-100,"458325625","137405638"
"4db91486-4933-4644-8a4e-5f8f592c5b79",-103,"458218223","137466496"
"793251b5-a690-404d-b4f8-a6895cae8428",-121,"458009615","137510073"
"a9fd0f65-0a9e-4a3a-8f56-b4f13034746e",-110,"457845738","137826610"
"fab2d719-53b0-409f-a8af-8437c42bcc20",-109,"457759678","137980806"
"08a02b77-d660-4721-a621-f608d4fa8ad3",-118,"457681381","138036548"
"40cdbe02-e4a7-4aab-aebf-922f94e4e23d",-119,"457570231","138321436"
"8b3b0e55-26ba-45e7-aca3-f12589880baa",-111,"457559028","138337806"
"4f39097b-c0fb-41ff-9610-36e767087a2f",-114,"457157226","138706341"
"a679874d-3b38-4f7d-bd97-72d9620d34e7",-114,"457102923","138764786"
