row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed
1,45.8529743,13.7293215,-72.0,-88.89,-73.0,False,False,False,-73.0,-74.03,-58.50999999999999,True,True,True
2,45.8530838,13.728865,-69.0,-89.05000000000001,-73.18,False,False,False,-75.0,-100.59,-57.480000000000004,True,True,True
3,45.8531935,13.7282806,-73.0,-122.14,-73.4,True,True,True,-78.0,-110.60000000000001,-56.099999999999994,True,True,True
4,45.8533048,13.7276925,-73.0,-89.53,-73.62,False,False,False,-74.0,-89.48,-54.53999999999999,True,True,True
5,45.8534091,13.7271033,-72.0,-89.65,-73.84,False,False,False,-83.0,-65.84,-52.92,True,True,True
6,45.853539,13.7262231,-72.0,-90.11,-74.15,False,False,False,-128.0,-65.14,-51.06999999999999,True,True,True
7,45.8536695,13.725249,-71.0,-90.34,-74.49000000000001,False,False,False,-119.0,-117.84,-51.349999999999994,True,True,True
8,45.8540938,13.7242738,-89.0,-108.4,-75.0,True,True,True,-83.0,-93.52000000000001,-52.75,True,True,True
9,45.8553896,13.7237653,-108.0,-163.19,-75.84,True,True,True,-85.0,-79.64,-54.5,True,True,True
10,45.8557616,13.7233263,-95.0,-162.09,-76.13,True,True,True,-101.0,-109.54,-56.39,True,True,True
11,45.8558796,13.7220541,-97.0,-147.18,-76.48000000000002,True,True,True,-82.0,-74.72,-59.22,True,True,True
12,45.8563921,13.721098,-98.0,-139.41,-76.93,True,True,True,-84.0,-97.52000000000001,-61.27,True,True,True
13,45.8573438,13.7200793,-107.0,-145.65,-77.56,True,True,True,-100.0,-110.31,-63.39000000000001,True,True,True
14,45.857226,13.7195511,-82.0,-127.28,-77.63,True,True,True,-75.0,-80.72,-63.839999999999996,True,True,True
15,45.8560096,13.7194485,-79.0,-93.06,-77.15,False,False,False,-79.0,-78.85000000000001,-63.17000000000001,True,True,True
16,45.8545173,13.719109,-76.0,-92.58000000000001,-76.62,False,False,False,-78.0,-79.07000000000001,-63.289999999999985,True,True,True
17,45.8527268,13.7187943,-97.0,-92.65,-75.99000000000001,False,False,True,,,,,,
18,45.8513541,13.7202036,-79.0,-111.11,-74.93,True,True,True,-73.0,-79.7,-64.03999999999999,True,True,True
19,45.8505081,13.7222885,-78.0,-105.24000000000001,-73.69,True,True,True,-75.0,-79.02000000000001,-63.48000000000001,True,True,True
20,45.849523,13.7239261,-76.0,-90.0,-72.39000000000001,False,False,True,-79.0,-79.82000000000001,-64.19,True,True,True
21,45.8485435,13.725368,-72.0,-88.06,-70.99000000000001,False,False,False,-76.0,-81.0,-65.35,True,True,True
22,45.8475815,13.7270063,-80.0,-86.44000000000001,-69.18,False,False,False,-81.0,-82.15,-66.6,False,False,False
23,45.8469736,13.7277326,-74.0,-84.92,-68.08000000000001,False,False,True,-80.0,-83.11,-67.37,True,True,True
24,45.8458508,13.7289678,-68.0,-81.2,-65.74000000000001,False,False,False,-85.0,-84.46000000000001,-68.66,True,True,True
25,45.8446185,13.7301931,-58.0,-82.53,-62.61,False,False,True,-77.0,-85.83000000000001,-69.9,True,True,True
26,45.8436985,13.7317066,-67.0,-73.07000000000001,-58.03999999999999,False,False,False,-79.0,-86.73,-70.84,True,True,True
27,45.8425463,13.7326646,-68.0,-70.12,-56.55,False,False,False,-85.0,-87.63000000000001,-71.75999999999999,False,False,False
28,45.8416488,13.7330851,-73.0,-74.36,-59.34,False,False,False,-85.0,-88.32000000000001,-72.37,True,True,True
29,45.8406003,13.7342995,-63.0,-80.29,-62.39999999999999,False,False,False,-84.0,-89.03,-73.13,False,False,False
30,45.8396785,13.7357286,-80.0,-82.75,-65.03999999999999,False,False,False,-80.0,-89.79,-73.81,False,True,True
31,45.838369,13.7373775,-78.0,-88.07000000000001,-67.98000000000002,False,True,True,-81.0,-90.60000000000001,-74.65,True,True,True
32,45.8366848,13.738486,-79.0,-101.66000000000001,-70.45000000000002,True,True,True,-96.0,-91.41000000000001,-75.49000000000001,False,True,True
33,45.8352655,13.737855,-91.0,-97.91000000000001,-71.73000000000002,False,True,True,-92.0,-91.88000000000001,-75.97,False,False,True
34,45.8352636,13.7378495,-93.0,-97.95,-71.73000000000002,False,True,True,-92.0,-91.88000000000001,-75.97,False,False,True
35,45.8352658,13.7378465,-98.0,-98.02000000000001,-71.73000000000002,False,True,True,-102.0,-91.88000000000001,-75.96000000000001,False,False,True
36,45.8349763,13.7379875,-113.0,-98.49000000000001,-72.03,True,True,True,-88.0,-91.98,-76.09,False,False,True
