row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed
1,45.8529743,13.7293215,-72.0,-79.08000000000001,-62.99999999999999,False,False,False,-73.0,-68.22,-52.50999999999999,True,True,True
2,45.8530838,13.728865,-69.0,-79.24000000000001,-63.18,False,False,False,-75.0,-99.57000000000001,-51.480000000000004,True,True,True
3,45.8531935,13.7282806,-73.0,-117.95,-63.4,True,True,True,-78.0,-107.31,-50.099999999999994,True,True,True
4,45.8533048,13.7276925,-73.0,-79.72,-63.62,False,False,False,-74.0,-90.46000000000001,-48.53999999999999,True,True,True
5,45.8534091,13.7271033,-72.0,-79.83000000000001,-63.839999999999996,False,False,False,-83.0,-60.03,-46.92,True,True,True
6,45.853539,13.7262231,-72.0,-80.30000000000001,-64.15,False,False,False,-128.0,-63.589999999999996,-45.06999999999999,True,True,True
7,45.8536695,13.725249,-71.0,-80.53,-64.49000000000001,False,False,True,-119.0,-114.58000000000001,-45.349999999999994,True,True,True
8,45.8540938,13.7242738,-89.0,-105.35000000000001,-65.0,True,True,True,-83.0,-90.10000000000001,-46.75,True,True,True
9,45.8553896,13.7237653,-108.0,-153.33,-65.84,True,True,True,-85.0,-74.79,-48.5,True,True,True
10,45.8557616,13.7233263,-95.0,-152.04,-66.13,True,True,True,-101.0,-104.28,-50.39,True,True,True
11,45.8558796,13.7220541,-97.0,-137.37,-66.48000000000002,True,True,True,-82.0,-68.9,-53.22,True,True,True
12,45.8563921,13.721098,-98.0,-129.75,-66.93,True,True,True,-84.0,-101.37,-55.269999999999996,True,True,True
13,45.8573438,13.7200793,-107.0,-138.28,-67.56,True,True,True,-100.0,-105.69000000000001,-57.39,True,True,True
14,45.857226,13.7195511,-82.0,-117.77000000000001,-67.63,True,True,True,-75.0,-75.02000000000001,-57.84,True,True,True
15,45.8560096,13.7194485,-79.0,-83.24000000000001,-67.15,False,False,False,-79.0,-73.04,-57.17,True,True,True
16,45.8545173,13.719109,-76.0,-82.76,-66.62,False,False,False,-78.0,-73.26,-57.28999999999999,True,True,True
17,45.8527268,13.7187943,-97.0,-83.05000000000001,-65.99000000000001,False,True,True,,,,,,
18,45.8513541,13.7202036,-79.0,-104.04,-64.93,True,True,True,-73.0,-73.88000000000001,-58.03999999999999,True,True,True
19,45.8505081,13.7222885,-78.0,-107.35000000000001,-63.68999999999999,True,True,True,-75.0,-73.21000000000001,-57.480000000000004,True,True,True
20,45.849523,13.7239261,-76.0,-80.82000000000001,-62.39000000000001,False,False,True,-79.0,-74.0,-58.19,True,True,True
21,45.8485435,13.725368,-72.0,-78.63000000000001,-60.989999999999995,False,False,True,-76.0,-75.19000000000001,-59.349999999999994,True,True,True
22,45.8475815,13.7270063,-80.0,-77.53,-59.17999999999999,False,False,True,-81.0,-76.34,-60.599999999999994,False,False,False
23,45.8469736,13.7277326,-74.0,-74.41000000000001,-58.08,False,False,True,-80.0,-77.30000000000001,-61.36999999999999,True,True,True
24,45.8458508,13.7289678,-68.0,-71.39,-55.739999999999995,False,False,False,-85.0,-78.64,-62.65999999999999,True,True,True
25,45.8446185,13.7301931,-58.0,-72.26,-52.61,False,True,True,-77.0,-80.01,-63.9,True,True,True
26,45.8436985,13.7317066,-67.0,-63.24999999999999,-48.03999999999999,False,False,False,-79.0,-80.92,-64.84,True,True,True
27,45.8425463,13.7326646,-68.0,-60.309999999999995,-46.55,False,False,False,-85.0,-81.81,-65.75999999999999,False,False,False
28,45.8416488,13.7330851,-73.0,-64.53999999999999,-49.34,False,False,True,-85.0,-82.51,-66.37,True,True,True
29,45.8406003,13.7342995,-63.0,-71.86,-52.39999999999999,False,False,False,-84.0,-83.22,-67.13,False,False,False
30,45.8396785,13.7357286,-80.0,-73.06,-55.03999999999999,False,False,True,-80.0,-83.97,-67.81,False,True,True
31,45.838369,13.7373775,-78.0,-80.21000000000001,-57.980000000000004,False,True,True,-81.0,-84.79,-68.65,True,True,True
32,45.8366848,13.738486,-79.0,-95.62,-60.45,True,True,True,-96.0,-85.60000000000001,-69.49000000000001,False,True,True
33,45.8352655,13.737855,-91.0,-91.71000000000001,-61.73000000000001,True,True,True,-92.0,-86.07000000000001,-69.97,False,True,True
34,45.8352636,13.7378495,-93.0,-91.72,-61.73000000000001,True,True,True,-92.0,-86.07000000000001,-69.97,False,True,True
35,45.8352658,13.7378465,-98.0,-91.74000000000001,-61.73000000000001,True,True,True,-102.0,-86.07000000000001,-69.96000000000001,False,True,True
36,45.8349763,13.7379875,-113.0,-92.04,-62.029999999999994,True,True,True,-88.0,-86.17,-70.09,False,True,True
37,45.8337958,13.7391703,-96.0,-94.25,-63.27,True,True,True,-79.0,-86.74000000000001,-70.64000000000001,False,True,True
38,45.8320963,13.7406361,-79.0,-103.38000000000001,-64.77000000000001,True,True,True,-86.0,-87.45,-71.36000000000001,False,True,True
