row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed
1,45.6442988,13.9006861,-121.0,-105.98,-90.23000000000002,False,False,True,-118.0,-106.94000000000001,-91.19,False,False,True
2,45.6442153,13.9007493,-80.0,-105.98,-90.24000000000001,False,True,True,-118.0,-106.94000000000001,-91.20000000000002,False,True,True
3,45.6443316,13.9005705,-78.0,-108.67836000000003,-90.23000000000002,True,True,True,-125.0,-102.23347000000001,-91.19,True,True,True
4,45.6437745,13.8994586,-78.0,-105.99000000000001,-90.23000000000002,False,False,False,-128.0,-106.94000000000001,-91.19,False,False,False
5,45.6438635,13.8985875,-117.0,-105.96000000000001,-90.22,False,True,True,-122.0,-106.93,-91.18,False,True,True
6,45.6439413,13.8984966,-114.0,-105.96000000000001,-90.22,False,True,True,-114.0,-106.93,-91.18,False,True,True
7,45.6442565,13.8982668,-119.0,-105.95,-90.20000000000002,False,False,False,-118.0,-106.91000000000001,-91.16,False,False,False
8,45.6445511,13.897861,-79.0,-105.94000000000001,-90.19,False,False,False,-120.0,-106.9,-91.15,False,False,False
9,45.6446356,13.8972948,-117.0,-94.10252000000001,-90.18,True,True,True,-82.0,-84.62763000000001,-91.14000000000001,True,True,True
10,45.644781,13.8970281,-110.0,-105.91000000000001,-90.17000000000002,False,False,False,-120.0,-106.88000000000001,-91.13,False,True,True
11,45.6453235,13.8965263,-118.0,-105.9,-90.14000000000001,False,False,True,-120.0,-106.85000000000001,-91.11000000000001,False,False,False
12,45.645676,13.8963961,-116.0,-108.56715000000001,-90.13,True,True,True,-118.0,-102.07226,-91.1,True,True,True
13,45.6468428,13.8952041,-124.0,-108.57131,-90.08000000000001,True,True,True,-123.0,-102.01642000000001,-91.03999999999999,True,True,True
14,45.6470976,13.8945093,-108.0,-93.26386000000001,-90.06,True,True,True,-113.0,-83.18897000000001,-91.03,True,True,True
15,45.6473661,13.8947331,-113.0,-105.81,-90.05000000000001,False,True,True,-84.0,-106.77000000000001,-91.02000000000001,False,False,True
16,45.6475901,13.8951911,-118.0,-105.80000000000001,-90.05000000000001,False,False,True,-117.0,-106.77000000000001,-91.02000000000001,False,True,True
17,45.6478231,13.8950068,-112.0,-105.79,-90.03999999999999,False,False,True,-118.0,-106.76,-91.00999999999999,False,True,True
18,45.6478555,13.8943753,-109.0,-105.79,-90.03,False,False,True,-116.0,-106.74000000000001,-91.0,False,False,False
19,45.647743,13.8936985,,,,,,,-125.0,-106.74000000000001,-91.0,False,True,True
20,45.648058,13.8939495,-116.0,-105.77000000000001,-90.02000000000001,False,True,True,-116.0,-106.74000000000001,-90.99000000000001,False,True,True
21,45.6484415,13.8946038,-117.0,-105.77000000000001,-90.02000000000001,False,False,True,-125.0,-106.73,-90.99000000000001,False,False,False
22,45.6486848,13.8950663,-78.0,-105.77000000000001,-90.00999999999999,False,False,True,-121.0,-106.73,-90.98000000000002,False,False,True
23,45.6488656,13.8944821,-116.0,-105.76,-90.0,False,True,True,-116.0,-106.72,-90.97,False,True,True
24,45.6491521,13.8943535,-79.0,-105.75,-89.99000000000001,False,True,True,-118.0,-106.71000000000001,-90.96000000000001,False,False,True
25,45.6494758,13.8950886,-78.0,-105.75,-89.99000000000001,False,True,True,-122.0,-106.71000000000001,-90.96000000000001,False,False,False
26,45.6497105,13.8944026,-79.0,-105.74000000000001,-89.97,False,True,True,-118.0,-106.69000000000001,-90.94,False,False,False
27,45.6497841,13.8935241,-79.0,-64.70916,-89.96000000000001,True,True,True,-115.0,-106.68,-90.93,False,True,True
28,45.649768,13.8921843,-79.0,-82.31171,-89.94,True,True,True,-117.0,-106.66000000000001,-90.91,False,True,True
29,45.6496621,13.8907253,-80.0,-80.84426000000002,-89.92000000000002,True,True,True,-117.0,-106.65,-90.9,False,True,True
30,45.6489646,13.8883243,-79.0,-83.89728000000001,-89.91,True,True,True,-121.0,-106.65,-90.89000000000001,False,False,True
31,45.6498693,13.8845446,-79.0,-90.73701000000003,-89.83000000000001,True,True,True,-119.0,-106.60000000000001,-90.81,False,True,True
32,45.6506893,13.8836265,-79.0,-86.38862000000002,-89.78999999999999,True,True,True,-123.0,-106.55000000000001,-90.78,False,False,True
33,45.66072,13.910416,-80.0,-90.25050000000002,-89.84,True,True,True,-120.0,-106.59,-90.81,False,True,True
34,45.6845596,13.8819761,-78.0,-108.64343000000001,-88.53,True,True,True,-122.0,-98.17854000000003,-89.58000000000001,True,True,True
35,45.6931415,13.878885,,,,,,,-121.0,-99.58048000000002,-89.21000000000001,True,True,True
36,45.6982418,13.8760255,-78.0,-117.58295000000001,-87.87,True,True,True,-128.0,-110.95457000000002,-88.97,True,True,True
37,45.7023341,13.872333,-79.0,-122.15448999999998,-87.63,True,True,True,-121.0,-116.32611,-88.74000000000001,True,True,True
38,45.7045061,13.8719243,,,,,,,-120.0,-128.03933,-88.65,True,True,True
39,45.7053463,13.8732231,-121.0,-134.15073,-87.52000000000001,True,True,True,-124.0,-129.39235,-88.64000000000001,True,True,True
40,45.7067675,13.8706871,,,,,,,-126.0,-132.83859,-88.53,True,True,True
41,45.7074086,13.8699933,-118.0,-140.08556,-87.37,True,True,True,-121.0,-135.17718000000002,-88.5,True,True,True
42,45.7065578,13.8664011,,,,,,,-125.0,-121.24926,-88.46000000000001,True,True,True
43,45.7064063,13.865346,-118.0,-127.59717000000002,-87.32,True,True,True,-118.0,-119.91879,-88.45000000000002,True,True,True
44,45.7070481,13.8632116,,,,,,,-118.0,-127.33644,-88.38,True,True,True
45,45.7080923,13.8622385,-119.0,-134.57596,-87.18,True,True,True,-119.0,,,,,
46,45.7088143,13.8601578,,,,,,,-118.0,-130.31522999999999,-88.25,True,True,True
47,45.709723,13.8555846,-120.0,-138.42589,-86.97,True,True,True,-118.0,-132.99751,-88.13,True,True,True
48,45.7124933,13.850352,,,,,,,-118.0,-137.94348000000002,-87.91,True,True,True
49,45.7134553,13.8481261,-115.0,-105.25555000000001,-86.64000000000001,True,True,True,-116.0,-89.55066000000001,-87.82,True,True,True
50,45.715329,13.8495278,-116.0,-103.22367000000003,-86.57,True,True,True,-117.0,-87.73878,-87.75999999999999,True,True,True
51,45.7153901,13.8494105,-78.0,-103.39018,-86.57,True,True,True,-121.0,-87.69529,-87.75999999999999,True,True,True
52,45.7153961,13.8492816,-118.0,-101.18669,-86.57,True,True,True,-123.0,-103.53,-87.75,False,True,True
53,45.7164058,13.8514741,-79.0,-102.31,-86.56,False,False,True,-122.0,-103.51,-87.75,False,False,False
54,45.7171991,13.8526825,,,,,,,-125.0,-125.52133,-87.74000000000001,True,True,True
55,45.718639,13.8542583,,,,,,,-125.0,-103.47,-87.71000000000001,False,True,True
56,45.7202198,13.854401,-79.0,-90.90642,-86.44,True,True,True,-111.0,-103.41000000000001,-87.64000000000001,False,True,True
57,45.7207906,13.8539073,-107.0,-102.15,-86.41,False,True,True,-115.0,-103.37,-87.6,False,True,True
58,45.7208485,13.8538243,-78.0,-102.14,-86.4,False,True,True,-113.0,-103.37,-87.6,False,True,True
59,45.7234191,13.8257546,,,,,,,-125.0,-133.87548,-86.91,True,True,True
60,45.7333996,13.8218108,-79.0,-100.75,-84.98000000000002,False,False,True,-121.0,-102.10000000000001,-86.30000000000001,False,True,True
61,45.7334271,13.8231433,-111.0,-100.77000000000001,-85.00999999999999,False,False,True,-117.0,-102.13000000000001,-86.33000000000001,False,False,True
62,45.7332338,13.8241256,-78.0,-100.80000000000001,-85.03999999999999,False,True,True,-118.0,-102.14,-86.36000000000001,False,True,True
63,45.7338073,13.8233143,-78.0,-134.21298000000002,-84.99000000000001,True,True,True,-122.0,-128.38809,-86.31,True,True,True
64,45.7346856,13.8221563,-79.0,-100.66000000000001,-84.91,False,True,True,-116.0,-102.03,-86.24000000000001,False,True,True
