"meshDataId","!7369fb6a","!75f19024","latitudeI","longitudeI","createdAt"
"ad3ac9b0-2b08-415f-b4a3-d01358d3e60d",-118,-121,"456442988","139006861","2026-01-18 15:42:08.112"
"4ef011a8-a24c-48db-b11b-49ef5ebfda53",-118,-80,"456442153","139007493","2026-01-18 15:42:34.007"
"fbb00139-42a1-44a9-8dca-fc40565df1e9",-125,-78,"456443316","139005705","2026-01-18 15:42:49.046"
"396f47e1-5391-47f2-a572-5a091bd8fadb",-128,-78,"456437745","138994586","2026-01-18 15:43:19.093"
"94f6afac-7c5c-4c57-a7f7-db6a3dd3aa12",-122,-117,"456438635","138985875","2026-01-18 15:44:27.514"
"8d26f219-acee-4914-ab00-0971bbf1cd71",-114,-114,"456439413","138984966","2026-01-18 15:44:57.927"
"c04a92bb-70a1-4fcd-b7e3-4b2c92ec2fff",-118,-119,"456442565","138982668","2026-01-18 15:45:12.982"
"d4970765-884d-4bac-8a26-9cb7b2911047",-120,-79,"456445511","138978610","2026-01-18 15:45:27.996"
"adac76dc-d242-4a2c-9341-4a8c6d4eb5c7",-82,-117,"456446356","138972948","2026-01-18 15:45:42.985"
"f241647d-73e3-4068-bf22-66cfec31b7ab",-120,-110,"456447810","138970281","2026-01-18 15:45:58.005"
"2e8801cc-5626-4956-985f-bcbd8815d468",-120,-118,"456453235","138965263","2026-01-18 15:46:28.962"
"6d8270e2-6d16-47df-99bb-ea9f6ac06f8e",-118,-116,"456456760","138963961","2026-01-18 15:46:43.978"
"19781f8e-fa6b-4830-9e34-2f386caa9185",-123,-124,"456468428","138952041","2026-01-18 15:47:29.164"
"23660898-493f-4c31-80f1-9dc17b511626",-113,-108,"456470976","138945093","2026-01-18 15:47:45.018"
"1653975b-c7e7-4592-beea-342b84480a98",-84,-113,"456473661","138947331","2026-01-18 15:48:00.051"
"ec085107-8511-4e73-b823-607f6301025b",-117,-118,"456475901","138951911","2026-01-18 15:48:15.142"
"7eb60732-fc21-4348-886c-0d3e9a589a22",-118,-112,"456478231","138950068","2026-01-18 15:48:30.92"
"f62a3841-914a-4912-8762-8376f4df8327",-116,-109,"456478555","138943753","2026-01-18 15:48:45.925"
"afb69b44-9e98-4259-aeb6-111b963dfa13",-125,NULL,"456477430","138936985","2026-01-18 15:49:00.95"
"cd3a7d50-a797-4a4e-ab31-03667700c43c",-116,-116,"456480580","138939495","2026-01-18 15:49:16.843"
"10f54ea7-0be6-4427-a543-aab3c7c376a4",-125,-117,"456484415","138946038","2026-01-18 15:49:31.853"
"4b20a145-1b15-48b1-9f95-c9ae7025e8e1",-121,-78,"456486848","138950663","2026-01-18 15:49:46.967"
"4a57b41a-89fb-454e-a254-f9a40b7c071a",-116,-116,"456488656","138944821","2026-01-18 15:50:01.948"
"a99eee17-4177-48cf-bcf4-a16cecababa6",-118,-79,"456491521","138943535","2026-01-18 15:50:32.859"
"2c5a403f-5b77-4b84-97af-d4886f70459d",-122,-78,"456494758","138950886","2026-01-18 15:50:47.859"
"fb3918fa-d0ce-4378-897e-25a8a25c4510",-118,-79,"456497105","138944026","2026-01-18 15:51:02.893"
"e8d5ccde-ef28-49c2-8302-de4a9f1f5be2",-115,-79,"456497841","138935241","2026-01-18 15:51:17.96"
"eddd56d8-11e0-46e8-add5-8c97b752637a",-117,-79,"456497680","138921843","2026-01-18 15:51:32.983"
"98ce1659-f37a-4181-9b55-0ef2a675b2aa",-117,-80,"456496621","138907253","2026-01-18 15:51:48.928"
"71a68386-2c39-4484-9446-76d96c6a40af",-121,-79,"456489646","138883243","2026-01-18 15:52:19.904"
"62c3b4dc-3f07-4ba5-88d5-b862d0df6f39",-119,-79,"456498693","138845446","2026-01-18 15:53:20.565"
